pathway	pval	padj	log2err	ES	NES	size	leadingEdge	timepoint	confidence_levels
ETS1_1	3.381430706125469e-8	2.396774731555602e-6	0.7195128263389107	0.9473063726815701	2.749776238786409	112	FOS;EGR1;EGR2;DUSP6;MCL1;SPRY2;CDKN1A;IER5;GABPA	1	A
ETS2_1	4.2420791708948706e-8	2.396774731555602e-6	0.7195128263389107	0.9875253854141541	2.4610249581279207	23	FOS;EGR1;MYC	1	A
ELK1_1	4.515335264501356e-7	1.7007762829621774e-5	0.674962860011025	0.987288635334629	2.4900745504127917	24	FOS;EGR1;IER2;JUNB;MCL1;NR4A1;SRF	1	A
TP53_1	8.93521437624082e-7	2.5241980612880317e-5	0.6594443980379349	0.9100979906689741	2.6854040539509834	173	FOS;EGR1;BTG2;ATF3;DUSP5;DUSP1;SERTAD1;CDKN1A;ING1;PLK3;HIC1;CASP3	1	A
ESR1_1	2.3115835318223014e-6	5.224178781918401e-5	0.6272567397185284	0.9195707125537942	2.6935583149594198	123	FOS;JUNB;JUN;CDKN1A	1	A
SRF_1	4.2275162744977675e-6	7.961822316970796e-5	0.610526878385931	0.9926654716242749	2.0799709914100895	9	FOS;EGR1;SAMD4A	1	A
ESR2_1	7.486334683016231e-6	1.2085083131154773e-4	0.610526878385931	0.9885260109175449	2.239511658728893	13	FOS;JUN;COLEC12	1	A
CREB1_1	1.1243029228892226e-5	1.536312579640002e-4	0.5933254763964051	0.9501308874934893	2.6064669858778897	56	FOS;EGR1;SPRY2;ETV3;NR4A3;ODC1	1	A
SPI1_1	1.223611789093807e-5	1.536312579640002e-4	0.5933254763964051	0.9451246773288406	2.622771547143461	64	FOS;EGR2;REL	1	A
STAT3_1	3.254473177618064e-5	3.6775546907084124e-4	0.557332238758646	0.9461896935052468	2.592223120341402	58	FOS;JUNB;MCL1;CDKN1A;KLF11;ZFP36	1	A
ESR1_-1	4.1462810892469725e-5	4.259361482590072e-4	0.557332238758646	0.9857276691894545	2.0654339411942213	9	BTG2;CTNNB1	1	A
SP1_1	4.6108372485149834e-5	4.341871742351609e-4	0.557332238758646	0.8492184893006335	2.572485024629956	246	FOS;EGR1;MCL1;JUN;SPRY2;LDLR;CDKN1A;ODC1;IFNGR1;SP3;TMPO;RORA;HSPA1A;MYC;FMR1;REL	1	A
JUN_1	9.206303248638846e-5	8.002402054586073e-4	0.5384340963099162	0.9210470966601304	2.5918610956856507	72	FOS;ATF3;IER5;RHOB;DDIT3	1	A
STAT1_1	1.347241857233469e-4	0.00101492219911588	0.5188480777437918	0.8433599920619385	2.5566367708244075	243	FOS;JUNB;MCL1;JUN;EIF2AK3;CDKN1A;ZNF184;SOCS4;ZNF529;ZFP1;SOCS6;RBAK;ZNF268;SOCS5;ZNF669;FGF2;IL6ST;ZNF721;MYC;GLS;ZNF12	1	A
TWIST1_1	1.3112564667116492e-4	0.00101492219911588	0.5188480777437918	0.983148719799576	2.1711642241133187	11	FOS;CDKN1A	1	A
