kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
PKACG	AGC	10	94	0	15	83	5426	6.9546270187131505	2.7979731441446662	0.00000318866576223163	0.00007432044045816798	5.496391001367242	4.1288917251717745	2.1791164658634536	1.1237433053264227	0.999999999985308	1.000000000015329	6.380665547990007e-12	6.657331098046247e-12	upregulated set	6.9546270187131505	2.7979731441446662	0.00000318866576223163	0.00007432044045816798	5.496391001367242	4.1288917251717745
ZAK	TKL	0	94	0	15	92	5426	0.3137141535615171	-1.6724774754527842	0.20322427717338215	0.3872764527266339	0.692024412467591	0.4119789082857375	1.9659420289855072	0.9752207806163347	0.9999999999707176	1.000000000015329	1.2717164898104324e-11	6.657331098046247e-12	downregulated set	0.5086619977884261	-0.9752207806163347	0.9999999999707176	1.000000000015329	1.2717164898104324e-11	6.657331098046247e-12
P38B	CMGC	9	94	2	15	599	5426	0.8672965580932761	-0.20540271074224445	0.403596558212511	0.5387213970854221	0.39405254599233175	0.2686357746831495	1.2077907623817474	0.272370543884562	0.5056471719290292	1.000000000015329	0.29615241741385756	6.657331098046247e-12	downregulated set	0.8279579800958348	-0.272370543884562	0.5056471719290292	1.000000000015329	0.29615241741385756	6.657331098046247e-12
P38A	CMGC	10	94	3	15	479	5426	1.2050815084617776	0.26913072975541086	0.31963457687021213	0.5044233166233035	0.49534624646790665	0.2972048466691512	2.265553235908142	1.1798633916583237	0.14165060490676012	1.000000000015329	0.8487815665222447	6.657331098046247e-12	downregulated set	0.4413932915591596	-1.1798633916583237	0.14165060490676012	1.000000000015329	0.8487815665222447	6.657331098046247e-12
P38D	CMGC	10	94	2	15	706	5426	0.8176119582906395	-0.29051179777958924	0.30985307375112914	0.49413411235048493	0.5088441912795665	0.3061551637300904	1.0247403210576016	0.03525836340216742	0.5995413719354086	1.000000000015329	0.2221808426180043	6.657331098046247e-12	downregulated set	0.9758569848875782	-0.03525836340216742	0.5995413719354086	1.000000000015329	0.2221808426180043	6.657331098046247e-12
PKACA	AGC	8	94	0	15	111	5426	4.160245351734713	2.056668614254123	0.0008733520747644017	0.009080294718834769	3.0588106436906455	2.04190005536807	1.6294294294294294	0.7043668703232416	0.9999999999701749	1.000000000015329	1.2952894747310241e-11	6.657331098046247e-12	upregulated set	4.160245351734713	2.056668614254123	0.0008733520747644017	0.009080294718834769	3.0588106436906455	2.04190005536807
PKACB	AGC	9	94	0	15	111	5426	4.680276020701553	2.2265936156964354	0.00018079982366722838	0.0024901066623259182	3.7428019974247433	2.6037820497446442	1.6294294294294294	0.7043668703232416	0.9999999999701749	1.000000000015329	1.2952894747310241e-11	6.657331098046247e-12	upregulated set	4.680276020701553	2.2265936156964354	0.00018079982366722838	0.0024901066623259182	3.7428019974247433	2.6037820497446442
TBK1	Other	1	94	0	15	247	5426	0.23369799293651478	-2.097282750980449	0.07038978254771872	0.21250684831829758	1.1524903764428907	0.6726270696657973	0.7322537112010796	-0.4495844949113301	0.4976786472744278	1.000000000015329	0.3030509921067346	6.657331098046247e-12	downregulated set	1.3656468853667527	0.4495844949113301	0.4976786472744278	1.000000000015329	0.3030509921067346	6.657331098046247e-12
AKT2	AGC	0	94	0	15	40	5426	0.7215425531914893	-0.47084361428313376	0.5018341254355569	0.5781587072508507	0.2994398093736675	0.23795292936112036	4.5216666666666665	2.1768546417859853	0.9999999999988627	1.000000000015329	4.939285283688745e-13	6.657331098046247e-12	downregulated set	0.22115739034279397	-2.1768546417859853	0.9999999999988627	1.000000000015329	4.939285283688745e-13	6.657331098046247e-12
AKT3	AGC	0	94	0	15	43	5426	0.6712023750618507	-0.5751802740978691	0.47644569999680314	0.5745545653355343	0.3219865882796384	0.24066872015442495	4.206201550387597	2.0725179819712496	0.9999999999945373	1.000000000015329	2.372438433220877e-12	6.657331098046247e-12	downregulated set	0.2377441946185035	-2.0725179819712496	0.9999999999945373	1.000000000015329	2.372438433220877e-12	6.657331098046247e-12
