kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
PKACG	AGC	3	52	0	11	90	5472	3.507692307692308	1.8105222011362874	0.05649175763147978	0.39535653327571246	1.248014912822922	0.4030110800809812	2.7636363636363637	1.466567799918926	1.000000000013355	1.0000000000301261	5.8000439802926706e-12	1.30836093350113e-11	upregulated set	3.507692307692308	1.8105222011362874	0.05649175763147978	0.39535653327571246	1.248014912822922	0.4030110800809812
ZAK	TKL	2	52	0	11	90	5472	2.3384615384615386	1.225559700415131	0.21443096553604002	0.5767187058158775	0.6687124988749117	0.239035962060811	2.7636363636363637	1.466567799918926	1.000000000013355	1.0000000000301261	5.8000439802926706e-12	1.30836093350113e-11	downregulated set	0.3618421052631579	-1.466567799918926	1.000000000013355	1.0000000000301261	5.8000439802926706e-12	1.30836093350113e-11
P38B	CMGC	6	52	4	11	600	5472	1.0523076923076924	0.07355660697008111	0.513157375980215	0.666819857811249	0.2897494242873008	0.17599147541656684	3.316363636363637	1.7296022057527198	0.0255568054204313	1.0000000000301261	1.5924934335725682	1.30836093350113e-11	downregulated set	0.3015350877192982	-1.7296022057527198	0.0255568054204313	1.0000000000301261	1.5924934335725682	1.30836093350113e-11
P38A	CMGC	5	52	5	11	482	5472	1.0916054899457388	0.1264515554022063	0.4893485590173509	0.6540485854412867	0.310381686208383	0.18438998928227698	5.160316861561674	2.367459654906001	0.001591190797092471	0.29925619758861044	2.7982777416882434	0.5239568466002045	downregulated set	0.19378654970760237	-2.367459654906001	0.001591190797092471	0.29925619758861044	2.7982777416882434	0.5239568466002045
P38D	CMGC	4	52	3	11	711	5472	0.5920155793573515	-0.7562929528746096	0.17869756434228393	0.5640141874553336	0.7478813669118978	0.24870997144916115	2.098964326812428	1.0696776473503413	0.1636439196558356	1.0000000000301261	0.7861001266772489	1.30836093350113e-11	downregulated set	0.4764254385964913	-1.0696776473503413	0.1636439196558356	1.0000000000301261	0.7861001266772489	1.30836093350113e-11
PKACA	AGC	2	52	0	11	117	5472	1.7988165680473374	0.8470480771614013	0.3089993946046828	0.6230929338302585	0.5100423714492858	0.20544717382295896	2.125874125874126	1.0880561766651962	1.000000000016418	1.0000000000301261	7.130237287636473e-12	1.30836093350113e-11	downregulated set	0.47039473684210525	-1.0880561766651962	1.000000000016418	1.0000000000301261	7.130237287636473e-12	1.30836093350113e-11
PKACB	AGC	1	52	0	11	119	5472	0.8842921784098255	-0.1774049665631377	0.6875050021374338	0.7320740680048439	0.16272413765365282	0.13544497673059616	2.0901451489686784	1.063603132940657	1.0000000000043967	1.0000000000301261	1.909464816517966e-12	1.30836093350113e-11	downregulated set	0.4784356725146199	-1.063603132940657	1.0000000000043967	1.0000000000301261	1.909464816517966e-12	1.30836093350113e-11
TBK1	Other	3	52	0	11	245	5472	1.2885400313971742	0.3657373584633913	0.4154788333053102	0.6390359720381168	0.3814510965798925	0.1944746942391804	1.015213358070501	0.021782957246030066	1.0000000000053157	1.0000000000301261	2.3085999549224335e-12	1.30836093350113e-11	upregulated set	1.2885400313971742	0.3657373584633913	0.4154788333053102	0.6390359720381168	0.3814510965798925	0.1944746942391804
AKT2	AGC	0	52	0	11	40	5472	1.3153846153846156	0.39548470185744355	1.0000000000029132	1.000000000010436	1.2651976361160698e-12	4.5323390927767995e-12	6.218181818181819	2.6364928013612383	1.0000000000007676	1.0000000000301261	3.333680051873434e-13	1.30836093350113e-11	downregulated set	0.1608187134502924	-2.6364928013612383	1.0000000000007676	1.0000000000301261	3.333680051873434e-13	1.30836093350113e-11
AKT3	AGC	0	52	0	11	43	5472	1.2236135957066192	0.29114804204270806	1.0000000000014286	1.000000000010436	6.204482919799417e-13	4.5323390927767995e-12	5.784355179704018	2.5321561415465026	1.0000000000082854	1.0000000000301261	3.598291508682029e-12	1.30836093350113e-11	downregulated set	0.1728801169590643	-2.5321561415465026	1.0000000000082854	1.0000000000301261	3.598291508682029e-12	1.30836093350113e-11
P38G	CMGC	3	52	3	11	625	5472	0.5051076923076924	-0.9853370820834874	0.14201587313411587	0.5410779313792312	0.8476631117486861	0.266740179014516	2.3877818181818182	1.2556710174203074	0.12274441468847685	1.0000000000301261	0.9109982607134397	1.30836093350113e-11	downregulated set	0.41879873294346975	-1.2556710174203074	0.12274441468847685	1.0000000000301261	0.9109982607134397	1.30836093350113e-11
AKT1	AGC	1	52	0	11	39	5472	2.6982248520710064	1.4320105778825576	0.3159132234082389	0.6230929338302585	0.5004321951362025	0.20544717382295896	6.377622377622378	2.6730186773863527	1.0000000000001994	1.0000000000301261	8.659660649647655e-14	1.30836093350113e-11	downregulated set	0.15679824561403508	-2.6730186773863527	1.0000000000001994	1.0000000000301261	8.659660649647655e-14	1.30836093350113e-11
DRAK1	CAMK	4	52	0	11	127	5472	3.3143549364021805	1.72872810997264	0.03404604755372707	0.2958667228353196	1.4679332985893532	0.5289038787112903	1.9584824624194703	0.9697362094764349	1.0000000000081524	1.0000000000301261	3.540528293435962e-12	1.30836093350113e-11	upregulated set	3.3143549364021805	1.72872810997264	0.03404604755372707	0.2958667228353196	1.4679332985893532	0.5289038787112903
PDK1	AGC	5	52	0	11	126	5472	4.175824175824176	2.0620609681322515	0.007396971872633816	0.1353642192542088	2.130946032722068	0.8684961172906994	1.9740259740259742	0.9811409727486844	1.0000000000157618	1.0000000000301261	6.845278521274561e-12	1.30836093350113e-11	upregulated set	4.175824175824176	2.0620609681322515	0.007396971872633816	0.1353642192542088	2.130946032722068	0.8684961172906994
PKG1	AGC	2	52	0	11	124	5472	1.69727047146402	0.7632164863579307	0.3333921612624343	0.6230929338302585	0.4770446155472782	0.20544717382295896	2.005865102639296	1.0042245858617254	1.000000000016024	1.0000000000301261	6.959165595072694e-12	1.30836093350113e-11	downregulated set	0.49853801169590645	-1.0042245858617254	1.000000000016024	1.0000000000301261	6.959165595072694e-12	1.30836093350113e-11
PKG2	AGC	3	52	0	11	107	5472	2.95039539899353	1.560908311064815	0.08419792703246876	0.45557092662210774	1.0746986007740131	0.3414439992779086	2.324553950722175	1.2169539098474538	0.9999999999925407	1.0000000000301261	3.239513474777867e-12	1.30836093350113e-11	upregulated set	2.95039539899353	1.560908311064815	0.08419792703246876	0.45557092662210774	1.0746986007740131	0.3414439992779086
DAPK1	CAMK	1	52	0	11	155	5472	0.678908188585608	-0.5587116085294318	0.565441531274599	0.6829610930477605	0.24761229605701676	0.16560403651751973	1.604692082111437	0.6822964909743631	1.0000000000018736	1.0000000000301261	8.136995162769014e-13	1.30836093350113e-11	downregulated set	0.623172514619883	-0.6822964909743631	1.0000000000018736	1.0000000000301261	8.136995162769014e-13	1.30836093350113e-11
DAPK2	CAMK	1	52	0	11	137	5472	0.768107804604155	-0.38061928621572105	0.6253582776965887	0.6865346309495158	0.203871097142626	0.1633375507055387	1.8155275381552753	0.8603888132880738	1.0000000000052995	1.0000000000301261	2.3015603644166315e-12	1.30836093350113e-11	downregulated set	0.5508040935672515	-0.8603888132880738	1.0000000000052995	1.0000000000301261	2.3015603644166315e-12	1.30836093350113e-11
DAPK3	CAMK	2	52	0	11	147	5472	1.4317111459968603	0.5177404519084414	0.41158289516522156	0.6390359720381168	0.38554268223252985	0.1944746942391804	1.6920222634508348	0.7587485514122362	0.999999999994277	1.0000000000301261	2.4854576123015542e-12	1.30836093350113e-11	downregulated set	0.5910087719298246	-0.7587485514122362	0.999999999994277	1.0000000000301261	2.4854576123015542e-12	1.30836093350113e-11
STLK3	STE	2	52	1	11	233	5472	0.9032684054143282	-0.14677334790947452	0.6180249173629522	0.6865346309495158	0.208994014789692	0.1633375507055387	2.134998049161139	1.0942347515943203	0.3813469854542739	1.0000000000301261	0.4186796823570789	1.30836093350113e-11	downregulated set	0.46838450292397665	-1.0942347515943203	0.3813469854542739	1.0000000000301261	0.4186796823570789	1.30836093350113e-11
HASPIN	Other	2	52	0	11	195	5472	1.0792899408284025	0.11008248299519513	0.5588193542906	0.6829610930477605	0.2527285608326434	0.16560403651751973	1.2755244755244757	0.3510905824989901	1.0000000000123812	1.0000000000301261	5.377089953467841e-12	1.30836093350113e-11	downregulated set	0.7839912280701753	-0.3510905824989901	1.0000000000123812	1.0000000000301261	5.377089953467841e-12	1.30836093350113e-11
PASK	CAMK	5	52	0	11	241	5472	2.1832109798914776	1.1264515554022063	0.08008115151568103	0.45557092662210774	1.0964696906072775	0.3414439992779086	1.032063372312335	0.04553156001863891	0.9999999999986525	1.0000000000301261	5.852021230782566e-13	1.30836093350113e-11	upregulated set	2.1832109798914776	1.1264515554022063	0.08008115151568103	0.45557092662210774	1.0964696906072775	0.3414439992779086
MPSK1	Other	2	52	0	11	200	5472	1.0523076923076924	0.07355660697008111	0.5726372471158184	0.6831066373074528	0.24212040676715266	0.16551149488478564	1.2436363636363637	0.31456470647387597	0.9999999999813401	1.0000000000301261	8.10387051437614e-12	1.30836093350113e-11	downregulated set	0.804093567251462	-0.31456470647387597	0.9999999999813401	1.0000000000301261	8.10387051437614e-12	1.30836093350113e-11
AMPKA2	CAMK	3	52	0	11	232	5472	1.3607427055702919	0.4443943023383899	0.38197508263307106	0.6390359720381168	0.41796496648072995	0.1944746942391804	1.0721003134796239	0.10043990112102853	0.9999999999960992	1.0000000000301261	1.6940822768707912e-12	1.30836093350113e-11	upregulated set	1.3607427055702919	0.4443943023383899	0.38197508263307106	0.6390359720381168	0.41796496648072995	0.1944746942391804
PRKD3	CAMK	1	52	0	11	108	5472	0.9743589743589745	-0.03747470541866271	0.7260773413035826	0.753429569914334	0.13901711605972553	0.12295733900583881	2.303030303030303	1.2035333940851323	1.0000000000099818	1.0000000000301261	4.335037693122011e-12	1.30836093350113e-11	downregulated set	0.43421052631578944	-1.2035333940851323	1.0000000000099818	1.0000000000301261	4.335037693122011e-12	1.30836093350113e-11
