Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[disease]	Characteristics[genotype]	Characteristics[developmental stage]	Characteristics[progenitor cell type]	Characteristics[cell type]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_STRAND]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[stimulus]	Factor Value[sampling time point]	Unit[time unit]
SM25	ERS2599909	SAMEA4779964	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM25	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM25_2_S25	group 1	sequencing assay	ERX2700441	SM25_2_S25_R1_001.fastq.gz	SM25_2_S25_R1_001.fastq.gz	ERR2685833	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/003/ERR2685833/ERR2685833.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	12	hour
SM25	ERS2599909	SAMEA4779964	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM25	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM25_3_S25	group 1	sequencing assay	ERX2700441	SM25_3_S25_R1_001.fastq.gz	SM25_3_S25_R1_001.fastq.gz	ERR2685834	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/004/ERR2685834/ERR2685834.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	12	hour
SM25	ERS2599909	SAMEA4779964	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM25	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM25_4_S25	group 1	sequencing assay	ERX2700441	SM25_4_S25_R1_001.fastq.gz	SM25_4_S25_R1_001.fastq.gz	ERR2685835	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/005/ERR2685835/ERR2685835.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	12	hour
SM25	ERS2599909	SAMEA4779964	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM25	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM25_S25	group 1	sequencing assay	ERX2700441	SM25_S25_R1_001.fastq.gz	SM25_S25_R1_001.fastq.gz	ERR2685836	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/006/ERR2685836/ERR2685836.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	12	hour
SM26	ERS2599910	SAMEA4779965	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM26	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM26_2_S26	group 2	sequencing assay	ERX2700442	SM26_2_S26_R1_001.fastq.gz	SM26_2_S26_R1_001.fastq.gz	ERR2685837	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/007/ERR2685837/ERR2685837.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	12	hour
SM26	ERS2599910	SAMEA4779965	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM26	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM26_3_S26	group 2	sequencing assay	ERX2700442	SM26_3_S26_R1_001.fastq.gz	SM26_3_S26_R1_001.fastq.gz	ERR2685838	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/008/ERR2685838/ERR2685838.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	12	hour
SM26	ERS2599910	SAMEA4779965	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM26	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM26_4_S26	group 2	sequencing assay	ERX2700442	SM26_4_S26_R1_001.fastq.gz	SM26_4_S26_R1_001.fastq.gz	ERR2685839	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/009/ERR2685839/ERR2685839.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	12	hour
SM26	ERS2599910	SAMEA4779965	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM26	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM26_S26	group 2	sequencing assay	ERX2700442	SM26_S26_R1_001.fastq.gz	SM26_S26_R1_001.fastq.gz	ERR2685840	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/000/ERR2685840/ERR2685840.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	12	hour
SM27	ERS2599911	SAMEA4779966	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM27	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM27_2_S27	group 3	sequencing assay	ERX2700443	SM27_2_S27_R1_001.fastq.gz	SM27_2_S27_R1_001.fastq.gz	ERR2685841	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/001/ERR2685841/ERR2685841.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	12	hour
SM27	ERS2599911	SAMEA4779966	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM27	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM27_3_S27	group 3	sequencing assay	ERX2700443	SM27_3_S27_R1_001.fastq.gz	SM27_3_S27_R1_001.fastq.gz	ERR2685842	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/002/ERR2685842/ERR2685842.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	12	hour
