,logFC,AveExpr,t,P.Value,adj.P.Val,B,Comparison
P23560,1.72636639285518,0.630257743163371,16.6694914972258,2.88072039523915e-06,0.0150546447855198,0.437697136311511,OnlyComparison
O60613,0.752235017000783,-0.124447863503452,1.44586932373744,0.198181431963478,0.93773588490771,-4.64133982634774,OnlyComparison
P61626,0.724880480813356,-0.241749693177959,2.51197783520124,0.0456436058908089,0.93773588490771,-3.53963508720925,OnlyComparison
P21741,0.637857822278416,1.55262367359375,1.1712348689318,0.285758793795673,0.93773588490771,-4.90021561594519,OnlyComparison
O75531,0.617105079230477,-0.889434745468666,1.24408282661237,0.259710222953695,0.93773588490771,-4.83412294785161,OnlyComparison
Q01804,0.580379886344281,-1.31860697140629,1.64728774502144,0.150423274852013,0.93773588490771,-4.4384856603097,OnlyComparison
A6NFI3,0.573321401327691,-1.36853326168229,1.23393953974041,0.263209044230327,0.93773588490771,-4.84345103557343,OnlyComparison
Q9UFW8,0.536771432007706,-1.37979303197526,1.38171970987542,0.216137934651071,0.93773588490771,-4.70398447680877,OnlyComparison
P01591,0.535615196750386,-1.1813890640314,2.86968612102905,0.0283268555348136,0.93773588490771,-3.18649773124176,OnlyComparison
P62633,0.534976775850931,0.890622349979939,1.21792422315595,0.268816934318282,0.93773588490771,-4.85809870401389,OnlyComparison
Q9H008,0.532348347458297,-1.52889097355669,1.11389882387527,0.307801610626585,0.93773588490771,-4.95066729028917,OnlyComparison
Q15643,0.528937838289226,-1.31186158397387,1.57394849123483,0.166391540334622,0.93773588490771,-4.5132659100663,OnlyComparison
P51808,0.522497602341077,-0.548247317923238,1.27157242463248,0.250431867483648,0.93773588490771,-4.80864963564574,OnlyComparison
Q9NQE9,0.519112825620039,-0.54500105489183,1.15640652441606,0.291327229193136,0.93773588490771,-4.91340182919311,OnlyComparison
P04733,0.518255464016709,-0.0819684164175173,1.05246537466241,0.332978211682919,0.93773588490771,-5.00304069570918,OnlyComparison
O60636,0.51066524055334,-0.829609407259051,1.40834307162524,0.208512320684578,0.93773588490771,-4.67812303415383,OnlyComparison
Q4KMQ2,0.504779720072258,-1.39869099475736,1.29047967897268,0.244220877552001,0.93773588490771,-4.79097068867945,OnlyComparison
Q9BQ69,0.494806383857578,-1.44133339341525,1.23727665310351,0.262053430123522,0.93773588490771,-4.8403864397526,OnlyComparison
Q99757,0.473454950399542,-1.65336848094224,1.29528624784831,0.242663830185513,0.93773588490771,-4.78645639057248,OnlyComparison
P20933,0.461856363092139,-0.122442980099125,1.11161199467977,0.30870962807008,0.93773588490771,-4.95264895577682,OnlyComparison
P12235,0.456863957173281,0.47410567413832,1.38448709401417,0.215333626677489,0.93773588490771,-4.70130575926847,OnlyComparison
Q8NDZ4,0.452634308113381,-1.14725945498522,1.75019083631668,0.130482142635798,0.93773588490771,-4.33225515983284,OnlyComparison
Q8TD08,0.450784225318471,0.543531359830625,1.18710216521036,0.279901072153415,0.93773588490771,-4.8860024804205,OnlyComparison
P67775,0.449696839395383,-1.00392913286314,1.21658838486322,0.269289340411759,0.93773588490771,-4.85931594428168,OnlyComparison
P48594,0.444836893516484,-0.875366580093729,1.11083614354361,0.309018198461393,0.93773588490771,-4.95332072560925,OnlyComparison
P16422,0.443505712590385,-1.42079286866142,1.60494945484074,0.159453771206035,0.93773588490771,-4.48176594804468,OnlyComparison
P13987,0.429862757174931,-0.855743273410861,1.22191735775394,0.267409083201568,0.93773588490771,-4.85445590779378,OnlyComparison
Q86YS7,0.416534054401309,-0.331175426247389,1.31676200606373,0.235814177668595,0.93773588490771,-4.7661901472349,OnlyComparison
P02788,0.411898644528368,0.0750001445805551,2.86108838475027,0.0286481584474713,0.93773588490771,-3.1947412963581,OnlyComparison
Q8TCZ2,0.411276373667161,-1.42800361735614,1.34989500709372,0.225585054746825,0.93773588490771,-4.7346252954133,OnlyComparison
P46776,0.407070749311397,0.802043235377902,1.41346567369349,0.207073554429299,0.93773588490771,-4.67312416974514,OnlyComparison
Q96FZ7,0.40533348646679,-0.441156662852894,1.24361766023909,0.259869784287581,0.93773588490771,-4.83455158269358,OnlyComparison
P20337,0.400599623081487,0.202841860326474,1.08121222203568,0.32099365207073,0.93773588490771,-4.97875943007887,OnlyComparison
Q06136,0.385331012029804,-0.439316451752047,1.25824710242231,0.254892469868091,0.93773588490771,-4.82103231554115,OnlyComparison
Q8WW59,0.384251525783717,-0.583335684147157,1.16042083012651,0.289810715263277,0.93773588490771,-4.90984138606729,OnlyComparison
Q9NQ88,0.383763119587594,-0.462504660272637,1.63976111524316,0.151992025481895,0.93773588490771,-4.4462002885071,OnlyComparison
P62873,0.383040638462815,0.447881946430702,1.21674622515441,0.269233484288307,0.93773588490771,-4.85917215394087,OnlyComparison
P10620,0.381267043410129,-0.390671855898297,1.64521528410031,0.150853673569512,0.93773588490771,-4.44061073499222,OnlyComparison
Q9BXS1;Q13907,0.381091941253772,-0.0864143681928149,1.4280784508808,0.203019140530388,0.93773588490771,-4.65882511943253,OnlyComparison
