condition,gene,value,replicate
no_treatment,EGR1,1,1
BDNF,EGR1,0.128016914,1
BDNF+CHX,EGR1,0.206658894,1
BDNF+Torin,EGR1,0.29531354,1
no_treatment,DYNC1L2,1,1
BDNF,DYNC1L2,0.090441869,1
BDNF+CHX,DYNC1L2,0.33353122,1
BDNF+Torin,DYNC1L2,0.202945206,1
no_treatment,DCTN3,,1
BDNF,DCTN3,,1
BDNF+CHX,DCTN3,,1
BDNF+Torin,DCTN3,,1
no_treatment,DCTN2,1,1
BDNF,DCTN2,0.514805253,1
BDNF+CHX,DCTN2,1.681157784,1
BDNF+Torin,DCTN2,0.960441891,1
no_treatment,KIF5A,1,1
BDNF,KIF5A,0.451318056,1
BDNF+CHX,KIF5A,0.276404734,1
BDNF+Torin,KIF5A,0.434827474,1
no_treatment,EGR1,1,2
BDNF,EGR1,0.346648566,2
BDNF+CHX,EGR1,0.306176944,2
BDNF+Torin,EGR1,0.446457595,2
no_treatment,DYNC1L2,1,2
BDNF,DYNC1L2,0.141506647,2
BDNF+CHX,DYNC1L2,0.535480536,2
BDNF+Torin,DYNC1L2,0.647063728,2
no_treatment,DCTN3,,2
BDNF,DCTN3,,2
BDNF+CHX,DCTN3,,2
BDNF+Torin,DCTN3,,2
no_treatment,DCTN2,1,2
BDNF,DCTN2,0.413439752,2
BDNF+CHX,DCTN2,1.061064356,2
BDNF+Torin,DCTN2,1.103274162,2
no_treatment,KIF5A,1,2
BDNF,KIF5A,0.255849612,2
BDNF+CHX,KIF5A,0.68479848,2
BDNF+Torin,KIF5A,0.629987177,2
no_treatment,EGR1,1,3
BDNF,EGR1,0.043888902,3
BDNF+CHX,EGR1,0.482633512,3
BDNF+Torin,EGR1,0.146706022,3
no_treatment,DYNC1L2,1,3
BDNF,DYNC1L2,0.249826773,3
BDNF+CHX,DYNC1L2,0.469435874,3
BDNF+Torin,DYNC1L2,0.493116352,3
no_treatment,DCTN3,,3
BDNF,DCTN3,,3
BDNF+CHX,DCTN3,,3
BDNF+Torin,DCTN3,,3
no_treatment,DCTN2,1,3
BDNF,DCTN2,0.976031761,3
BDNF+CHX,DCTN2,1.743516479,3
BDNF+Torin,DCTN2,1.155085785,3
no_treatment,KIF5A,1,3
BDNF,KIF5A,0.886381699,3
BDNF+CHX,KIF5A,1.082224645,3
BDNF+Torin,KIF5A,0.520510799,3
